"";"CO_MUNICIPIO";"Populacao";"desp_aluno_mat";"CO_ENTIDADE";"IN_LOCAL_FUNC_PREDIO_ESCOLAR";"IN_LOCAL_FUNC_SALAS_EMPRESA";"IN_LOCAL_FUNC_SOCIOEDUCATIVO";"IN_LOCAL_FUNC_UNID_PRISIONAL";"IN_LOCAL_FUNC_PRISIONAL_SOCIO";"IN_LOCAL_FUNC_TEMPLO_IGREJA";"IN_LOCAL_FUNC_CASA_PROFESSOR";"IN_LOCAL_FUNC_GALPAO";"IN_AGUA_FILTRADA";"IN_AGUA_REDE_PUBLICA";"IN_AGUA_POCO_ARTESIANO";"IN_AGUA_CACIMBA";"IN_AGUA_FONTE_RIO";"IN_AGUA_INEXISTENTE";"IN_ENERGIA_REDE_PUBLICA";"IN_ENERGIA_INEXISTENTE";"IN_LABORATORIO_INFORMATICA";"IN_QUADRA_ESPORTES";"IN_BIBLIOTECA";"IN_SALA_LEITURA";"IN_INTERNET";"IN_BANDA_LARGA";"IN_ALIMENTACAO";"UF";"Nome_Escola";"Indicador_Escola";"num_matriculas"
"1";4318481;4504;34948,9065671642;43175171;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SAO JOSE";5,1;377
"2";4317707;11111;29184,3730246914;43131328;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"EMEF SUBPREFEITO DEOCLECIANO RODRIGUES DA SILVA";4,6;301
"3";4317707;11111;29184,3730246914;43180892;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;"RS";"ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SANTO ANTONIO";3,5;408
"4";4301651;6109;32831,5730285714;43020712;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN CARLOS GOMES";5,4;428
"5";4301958;2507;41975,2306578947;43146970;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL BARRA FUNDA";5,8;179
"6";4305959;4000;31234,8436842105;43206085;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"EMEF CAMINHOS DO SABER";5,5;265
"7";4314779;3988;37079,6211486486;43097898;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;"RS";"EMEF ALBERTO TORRES";4,4;243
"8";4321667;10904;31878,624789644;43178774;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF FERNANDO FERRARI";4,3;192
"9";4321667;10904;31878,624789644;43156932;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF JOSE FELIPE SCHAEFFER";5,3;542
"10";4322251;4421;33779,569430605;43161766;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SAO FRANCISCO";5,1;618
"11";4308201;29603;35087,2713247863;43062881;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;"RS";"ESC MUN ENS FUN RIO BRANCO";5,4;478
"12";4308201;29603;35087,2713247863;43063225;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;"RS";"ESC MUN ENS FUND 1º DE MAIO";5,2;1081
"13";4308201;29603;35087,2713247863;43063055;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF FRANCISCO ZILLI";4,7;514
"14";4308201;29603;35087,2713247863;43062946;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;"RS";"ESC MUN ENS FUN TIRADENTES";5,1;210
"15";4308201;29603;35087,2713247863;43063250;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;"RS";"ESC MUNIC ENS FUN SAO JOSE";6,3;1469
